Medio Cultivo;C�d-lab;Cepa;Victoria;Proyecto;Pigmentaci�n;Lecitinasa;Ureasa;Lipasa;Amilasa;Proteasa;Catalasa;Celulasa;Fosfatasa;AIA;5 �C;37 �C;25 �C;AMP;AMC/AML;FEP;CTX;CXM;CAZ;ETP;I/R;CN;AK;K;S;NA/ND;C;AZM;TE;DO;AM E.coli;AM S.aureus;Metabolomica;16S;Nicol�s;Gram;morfologia;Genomas;Origen;;;;;;;;;;
LB/3;A21;SBLB 7 ;X;;Blanco;-;-;-;-;-;+;-;++;++;+;+;+;R;R;S;S;R;S;S;S;S;S;S;R;S;I;R;S;I;-;-;si;Pseudomonas sp.;;+;Bacilos;;Lago Maravilloso;;;;;;;;;;
LB/3;A20;SBLB 6;X;Lechuga;Blanco;+;-;+;-;+++;+;-;+++;+++;+;+;+;R;R;R;R;R;S;S;S;S;S;S;S;S;R;R;I;R;-;-;si;Pseudomonas sp.;MDR;-;Bacilos;;Lago Maravilloso;;;;;;;;;;
LB/3;A19;SBLB 5;X;;Blanco;+;-;+;-;+++;+;+++;+++;++;+;+;+;R;R;I;R;R;R;I;S;I;S;S;S;I;R;I;I;S;-;-;si;Pseudomonas sp.;MDR;-;Bacilos;;Lago Maravilloso;;;;;;;;;;
LB/3;A18;SBLB 4;X;;Blanco;+;-;+;-;+++;+;+++;+++;+++;+;+;+;;;;;;;;;;;;;;;;;;-;-;si;Pseudomonas sp.;MDR;-;Bacilos;;Lago Maravilloso;;;;;;;;;;
LB/3;A17;SBLB 3;X;;Blanco;+;-;-;-;-;+;++;+;+;+;+;+;;;;;;;;;;;;;;;;;;-;-;si;Pseudomonas sp.;MDR;-;Bacilos;;Lago Maravilloso;;;;;;;;;;
LB/3;A16;SBLB 2;X;Innova Sur sur;Amarillo;-;+;-;-;+++;+;+++;-;;+;+;+;S;S;S;S;S;R;R;S;S;S;S;S;R;S;R;S;S;-;-;si;Kocuria sp;;+;Cocos;;Lago Maravilloso;;;;;;;;;;
LB/3;A15;SBLA 8;X;;Blanco;+;-;+;+;+;+;++;+;++;+;+;+;R;R;R;R;I;S;S;S;S;S;S;R;S;S;S;S;S;-;-;si;Paracoccus sp.;MDR;+;Bacilos;;Laguna Amarga;;;;;;;;;;
LB/3;A14;SBLA 7;;;Blanco;+;+;+;+;-;+;++;-;P;+;+;+;;;;;;;;;;;;;;;;;;;;;;;+;cocos;;Laguna Amarga;;;;;;;;;;
LB/3;A13;SBLA 6;X;;Blanco;-;+;- ;-;-;-;-;-;;+;+;+;;;;;;;;;;;;;;;;;;-;-;si;Bacillus sp.;;+;Cocos;;Laguna Amarga;;;;;;;;;;
LB/3;A12;SBLA 5;X;Innova Sur sur;Naranjo;+;+;+;-;+++;+;++;+;+;+;+;+;S;S;S;S;S;R;S;S;S;S;S;S;S;S;S;S;S;-;-;si;Jeotgalibacillus sp.;;+;Bacilos;Si (UFRO);Laguna Amarga;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LB/3;A11;SBLA 4;X;;Amarillo;+;-;+;+;+;-;++;-;++;+;+;+;S;I;R;I;S;R;R;R;R;S;I;S;S;S;S;S;S;-;-;si;Microbacterium sp.;MDR;+;Bacilos;;Laguna Amarga;;;;;;;;;;
TSA;B24;SBLA 3;X;;Naranjo;-;-;-;-;++;-;-;-;-;+;-;+;S;S;S;S;S;R;I;S;S;S;S;S;S;S;S;S;S;-;-;si;Bacillus sp.;;-;Bacilos;;Laguna amarga;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LB/3;A29;SBLA 2;X;Mike;Blanco;+;-;-;-;+;-;+;-;-;+;+;+;R;R;S;R;R;I;I;S;S;S;S;I;R;S;R;I;S;-;+;si;Peribacillus sp.;MDR;+;Bacilos;;Laguna Amarga;;;;;;;;;;
TSA;;SBLA 2;;;NO CRECI�;;;;;;;;;;;;-;;;;;;;;;;;;;;;;;;-;-;;;;;;;;;;;;;;;;;
TSA;B25;SBLA 1;X;;Blanco;-;-;-;+;-;+;+;-;;-;+;+;R;R;R;R;R;R;S;S;I;S;S;S;S;S;S;I;S;-;+;si;Bacillus sp.;;+;Bacilos;;laguna amarga;;;;;;;;;;
TSA;B16;PLA 3;X;Mike;Caf�;-;-;-;++;++;-;++;-;+;+;+;+;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;-;+;;Bacillus sp.;;+;Bacilos;;Planta laguna amarga;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
